x,y,dt
2305.6,194.4,0.0000
2805.6,916.7,0.0000
361.1,1972.2,0.8422
1361.1,1694.4,0.0075
2638.9,1472.2,0.0000
1527.8,1750.0,0.0083
2083.3,416.7,0.0052
1805.6,1361.1,0.0148
250.0,1527.8,0.0778
2694.4,1527.8,0.0000
916.7,583.3,0.0020
1638.9,472.2,0.0144
416.7,27.8,0.9000
750.0,27.8,0.2561
194.4,1750.0,0.0915
2416.7,1361.1,0.0000
194.4,1138.9,0.0000
1750.0,1750.0,0.0094
1805.6,138.9,0.0095
2750.0,305.6,0.7928
2916.7,1527.8,0.0000
638.9,1972.2,0.6424
2694.4,27.8,0.7942
2305.6,1083.3,0.0000
194.4,472.2,0.0000
1916.7,1250.0,0.0135
250.0,638.9,0.0000
305.6,27.8,0.9000
1972.2,1638.9,0.0021
305.6,972.2,0.0000
1250.0,194.4,0.0184
1527.8,1694.4,0.0073
1361.1,305.6,0.0070
527.8,583.3,0.0002
2361.1,361.1,0.0180
638.9,1527.8,0.1131
1861.1,861.1,0.9000
1527.8,1805.6,0.0134
1527.8,1527.8,0.0130
916.7,1138.9,0.0889
972.2,1138.9,0.9000
1416.7,27.8,0.7046
2805.6,527.8,0.0000
2916.7,1138.9,0.0000
1027.8,361.1,0.0020
2416.7,638.9,0.1730
2972.2,805.6,0.0000
750.0,250.0,0.0283
305.6,1472.2,0.0000
2194.4,1138.9,0.0018
527.8,1694.4,0.3534
1805.6,194.4,0.0059
1250.0,527.8,0.0116
2194.4,1972.2,0.9000
638.9,1361.1,0.4255
2472.2,916.7,0.0012
972.2,1972.2,0.6677
2194.4,472.2,0.0150
1638.9,83.3,0.0688
1472.2,1472.2,0.0163
1194.4,1583.3,0.0124
916.7,750.0,0.0041
1416.7,1305.6,0.0344
972.2,416.7,0.0016
1916.7,194.4,0.0041
2916.7,250.0,0.0070
2805.6,1305.6,0.0000
583.3,1305.6,0.0724
2138.9,1027.8,0.0044
1805.6,750.0,0.0517
1250.0,805.6,0.0239
1138.9,305.6,0.0043
2472.2,305.6,0.3266
2472.2,1805.6,0.9000
83.3,1027.8,0.0000
1472.2,916.7,0.6915
1638.9,1916.7,0.1019
2972.2,1083.3,0.0000
2527.8,1750.0,0.2280
2972.2,750.0,0.0000
1361.1,1194.4,0.0421
2194.4,750.0,0.3613
2861.1,1694.4,0.0000
1972.2,750.0,0.9000
694.4,472.2,0.0014
2972.2,305.6,0.0000
1638.9,1250.0,0.0251
2583.3,1916.7,0.0000
1416.7,527.8,0.0150
694.4,805.6,0.0000
83.3,1861.1,0.6450
2027.8,805.6,0.9000
1472.2,1694.4,0.0074
2305.6,750.0,0.0849
2972.2,138.9,0.0722
1805.6,1805.6,0.0210
2583.3,1583.3,0.0000
250.0,1472.2,0.0012
750.0,805.6,0.0006
2472.2,1416.7,0.0003
2194.4,83.3,0.0000
1027.8,1027.8,0.0221
805.6,805.6,0.0016
83.3,1972.2,0.0799
1583.3,1638.9,0.0081
2972.2,1638.9,0.0000
1138.9,1861.1,0.0080
416.7,1638.9,0.0073
805.6,1305.6,0.9000
1694.4,194.4,0.0074
972.2,138.9,0.0784
2638.9,1194.4,0.0000
972.2,27.8,0.9000
2194.4,527.8,0.0177
638.9,805.6,0.0000
1416.7,805.6,0.0315
1250.0,1972.2,0.6768
138.9,1250.0,0.0000
194.4,1250.0,0.0000
2916.7,527.8,0.0000
83.3,916.7,0.0000
583.3,1972.2,0.6409
805.6,83.3,0.9000
1305.6,27.8,0.7287
916.7,27.8,0.9000
805.6,1805.6,0.0000
972.2,361.1,0.0019
27.8,27.8,0.9000
1083.3,1305.6,0.0349
2805.6,638.9,0.0000
861.1,638.9,0.0018
861.1,1416.7,0.0192
2638.9,27.8,0.8220
1861.1,694.4,0.0355
416.7,583.3,0.0000
2083.3,1638.9,0.0020
1861.1,1861.1,0.0550
694.4,1194.4,0.0211
2250.0,694.4,0.6931
694.4,83.3,0.9000
527.8,638.9,0.0000
83.3,1194.4,0.0000
2194.4,1583.3,0.0017
2583.3,1250.0,0.0000
2750.0,972.2,0.0000
1694.4,472.2,0.0148
1138.9,916.7,0.0229
2527.8,83.3,0.0626
694.4,138.9,0.3377
1138.9,138.9,0.0535
1805.6,972.2,0.0762
2916.7,1805.6,0.0000
1805.6,1250.0,0.0198
972.2,83.3,0.2172
2694.4,1138.9,0.0000
2638.9,583.3,0.0000
1194.4,1250.0,0.8530
27.8,1805.6,0.0038
1027.8,694.4,0.0080
1583.3,527.8,0.0167
2027.8,1694.4,0.0047
2638.9,750.0,0.0000
1750.0,1916.7,0.1194
1083.3,916.7,0.0196
2805.6,1527.8,0.0000
861.1,1527.8,0.0092
750.0,194.4,0.0594
1694.4,1972.2,0.7322
250.0,861.1,0.0000
1694.4,1638.9,0.0070
250.0,472.2,0.0000
472.2,1472.2,0.9000
1027.8,750.0,0.0098
1472.2,1250.0,0.0353
1361.1,972.2,0.1191
1916.7,1027.8,0.0212
972.2,805.6,0.0081
805.6,1138.9,0.0184
1861.1,27.8,0.6689
1361.1,1472.2,0.0175
638.9,83.3,0.9000
2250.0,1916.7,0.9000
1805.6,305.6,0.0075
694.4,1583.3,0.0172
2916.7,1416.7,0.0000
805.6,472.2,0.0013
1638.9,861.1,0.8031
27.8,527.8,0.0000
361.1,1416.7,0.0000
2194.4,1194.4,0.0017
1750.0,138.9,0.0120
2638.9,527.8,0.0000
305.6,1638.9,0.1375
1250.0,694.4,0.0193
694.4,305.6,0.0134
2750.0,1472.2,0.0000
1416.7,638.9,0.0205
1416.7,750.0,0.0281
2638.9,972.2,0.0000
1083.3,750.0,0.0134
1694.4,83.3,0.0617
2638.9,861.1,0.0000
2361.1,194.4,0.0002
583.3,1361.1,0.1849
27.8,472.2,0.0000
2083.3,1361.1,0.0026
1305.6,1138.9,0.9000
1694.4,1194.4,0.0256
694.4,1750.0,0.0010
1027.8,1694.4,0.0053
527.8,1805.6,0.0013
2638.9,1583.3,0.0000
2638.9,1305.6,0.0000
138.9,194.4,0.0000
2694.4,250.0,0.1665
2361.1,1305.6,0.0000
2972.2,1361.1,0.0000
2750.0,1805.6,0.0000
1805.6,1194.4,0.0220
2861.1,1083.3,0.0000
2083.3,1972.2,0.9000
1194.4,472.2,0.0075
361.1,527.8,0.0000
2750.0,1027.8,0.0000
1305.6,1972.2,0.6797
527.8,1916.7,0.0018
2194.4,305.6,0.0000
2972.2,416.7,0.0000
527.8,1083.3,0.0015
1527.8,805.6,0.0374
527.8,750.0,0.0000
2805.6,416.7,0.0200
2972.2,1972.2,0.9000
361.1,194.4,0.0000
27.8,1638.9,0.0000
2638.9,83.3,0.0363
194.4,1861.1,0.9000
472.2,1361.1,0.0836
2472.2,1694.4,0.9000
1750.0,361.1,0.0097
1750.0,583.3,0.0244
527.8,138.9,0.4690
27.8,83.3,0.0000
2083.3,861.1,0.0730
861.1,361.1,0.0024
1250.0,861.1,0.0258
1694.4,305.6,0.0074
2861.1,1750.0,0.0000
2416.7,472.2,0.9000
2138.9,250.0,0.0000
1638.9,1750.0,0.0092
2416.7,916.7,0.0000
1861.1,194.4,0.0052
2194.4,972.2,0.0016
861.1,1361.1,0.2628
2416.7,694.4,0.0659
1527.8,1305.6,0.0269
750.0,361.1,0.0046
2805.6,1250.0,0.0000
2527.8,1861.1,0.1463
583.3,1472.2,0.9000
1305.6,694.4,0.0210
2694.4,1861.1,0.0000
1694.4,972.2,0.9000
1805.6,83.3,0.0465
1527.8,1416.7,0.0186
694.4,694.4,0.0004
1861.1,916.7,0.9000
1250.0,972.2,0.0472
1361.1,1250.0,0.0387
138.9,694.4,0.0000
1138.9,1416.7,0.0287
916.7,83.3,0.2710
1972.2,1583.3,0.0020
2750.0,694.4,0.0000
1527.8,138.9,0.0256
1527.8,527.8,0.0162
194.4,138.9,0.0000
2361.1,1750.0,0.0560
1861.1,1916.7,0.1449
1027.8,916.7,0.0153
2527.8,1472.2,0.9000
361.1,916.7,0.0000
2250.0,361.1,0.0090
416.7,1916.7,0.0215
527.8,805.6,0.0000
1416.7,138.9,0.0326
1138.9,1472.2,0.0190
2527.8,1027.8,0.0908
916.7,916.7,0.0070
472.2,138.9,0.1452
2361.1,416.7,0.0230
1361.1,805.6,0.0283
2972.2,1805.6,0.0000
361.1,1305.6,0.0000
2083.3,250.0,0.0000
305.6,1583.3,0.0925
2583.3,305.6,0.0376
2305.6,583.3,0.9000
694.4,972.2,0.0000
